country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Afghanistan,AFG,2017,138,50,919,84,29,1220,,0.67,1804
Albania,ALB,2017,0,0,0,0,0,0,,0,11803
Algeria,DZA,2017,0,0,4,1,1,6,,0.01,13914
American Samoa,ASM,2017,0,0,0,0,0,0,,0,
Andean Latin America,,2017,1,1,8,4,4,18,,0.26,
Andorra,AND,2017,0,0,0,0,0,0,,0,
Angola,AGO,2017,4470,651,1818,1195,298,8432,,9.74,5819
Antigua and Barbuda,ATG,2017,0,0,0,0,0,0,,0,21491
Argentina,ARG,2017,0,0,0,0,0,0,,0,18934
Armenia,ARM,2017,0,0,0,0,0,0,,0,8788
Australasia,,2017,0,0,0,0,0,0,,0,
Australia,AUS,2017,0,0,0,0,0,0,,0,44649
Austria,AUT,2017,0,0,0,0,0,0,,0,45437
Azerbaijan,AZE,2017,0,0,0,0,0,0,,0,15847
Bahamas,BHS,2017,0,0,0,0,0,0,,0,27718
Bahrain,BHR,2017,0,0,0,0,0,0,,0,43291
Bangladesh,BGD,2017,1,863,1415,618,377,3274,,0.03,3524
Barbados,BRB,2017,0,0,0,0,0,0,,0,16978
Belarus,BLR,2017,0,0,0,0,0,0,,0,17168
Belgium,BEL,2017,0,0,0,0,0,0,,0,42659
Belize,BLZ,2017,0,0,0,0,0,0,,0.03,7824
Benin,BEN,2017,5611,721,1494,1083,524,9433,,24.1,2064
Bermuda,BMU,2017,0,0,0,0,0,0,,0,
Bhutan,BTN,2017,7,5,3,2,2,19,,0.05,8709
Bolivia,BOL,2017,1,0,2,1,1,5,,0.22,6886
Bosnia and Herzegovina,BIH,2017,0,0,0,0,0,0,,0,11714
Botswana,BWA,2017,1,0,3,1,0,5,,0.04,15807
Brazil,BRA,2017,4,4,30,12,10,60,,0.09,14103
Brunei,BRN,2017,0,0,0,0,0,0,,0,71809
Bulgaria,BGR,2017,0,0,0,0,0,0,,0,18563
Burkina Faso,BFA,2017,21007,1988,3514,2744,1321,30574,,23.62,1703
Burundi,BDI,2017,4880,711,1669,1125,274,8659,,14,702
Cambodia,KHM,2017,171,83,584,304,87,1229,,0.47,3645
Cameroon,CMR,2017,11214,1865,4469,3011,1482,22041,,17.48,3365
Canada,CAN,2017,0,0,0,0,0,0,,0,44018
Cape Verde,CPV,2017,2,0,0,0,0,2,,0.08,6223
Caribbean,,2017,2,1,17,5,2,27,,0.13,
Central African Republic,CAF,2017,2120,360,867,418,84,3849,,24.9,661
Central Asia,,2017,0,0,0,0,0,0,,0,
Central Europe,,2017,0,0,0,0,0,0,,0,
"Central Europe, Eastern Europe, and Central Asia",,2017,0,0,0,0,0,0,,0,
Central Latin America,,2017,13,9,51,18,15,106,,0.19,
Central Sub-Saharan Africa,,2017,56702,7132,18737,11913,2874,97358,,18.15,
Chad,TCD,2017,4662,740,1053,790,434,7679,,9.29,1768
Chile,CHL,2017,0,0,0,0,0,0,,0,22767
